Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People
Afghanistan,3778,109,472,3197,215,2.89,12.49,23.09,38928341,97.0
Albania,850,31,620,199,8,3.65,72.94,5.0,2877800,295.0
Algeria,5369,488,2467,2414,187,9.09,45.95,19.78,43851043,122.0
Andorra,752,47,537,168,0,6.25,71.41,8.75,77265,9733.0
Angola,43,2,11,30,7,4.65,25.58,18.18,32866268,1.0
Antigua and Barbuda,25,3,16,6,0,12.0,64.0,18.75,97928,255.0
Argentina,5611,293,1659,3659,240,5.22,29.57,17.66,45195777,124.0
Armenia,3029,43,1218,1768,145,1.42,40.21,3.53,2963234,1022.0
Australia,6918,97,6122,699,5,1.4,88.49,1.58,50919400,136.0
Austria,15774,614,13836,1324,22,3.89,87.71,4.44,9006400,1751.0
Azerbaijan,2279,28,1576,675,75,1.23,69.15,1.78,10139175,225.0
Bahamas,92,11,31,50,0,11.96,33.7,35.48,393248,234.0
Bahrain,4444,8,2028,2408,245,0.18,45.63,0.39,1701583,2612.0
Bangladesh,13134,206,2101,10827,709,1.57,16.0,9.8,164689383,80.0
Barbados,83,7,53,23,1,8.43,63.86,13.21,287371,289.0
Belarus,21101,121,5484,15496,933,0.57,25.99,2.21,9449321,2233.0
Belgium,52011,8521,13201,30289,591,16.38,25.38,64.55,11589616,4488.0
Belize,18,2,16,0,0,11.11,88.89,12.5,397621,45.0
Benin,242,2,62,178,102,0.83,25.62,3.23,12123198,20.0
Bhutan,7,0,5,2,0,0.0,71.43,0.0,771612,9.0
Bolivia,2266,106,237,1923,185,4.68,10.46,44.73,11673029,194.0
Bosnia and Herzegovina,2070,98,960,1012,43,4.73,46.38,10.21,3280815,631.0
Botswana,23,1,9,13,0,4.35,39.13,11.11,2351625,10.0
Brazil,146894,10017,59297,77580,11121,6.82,40.37,16.89,212559409,691.0
Brunei,141,1,132,8,0,0.71,93.62,0.76,437483,322.0
Bulgaria,1872,86,401,1385,43,4.59,21.42,21.45,6948445,269.0
Burkina Faso,744,48,566,130,8,6.45,76.08,8.48,20903278,36.0
Burma,177,6,67,104,1,3.39,37.85,8.96,54409800,3.0
Burundi,15,1,7,7,0,6.67,46.67,14.29,11890781,1.0
Cabo Verde,230,2,44,184,12,0.87,19.13,4.55,555988,414.0
Cambodia,122,0,120,2,0,0.0,98.36,0.0,16718971,7.0
Cameroon,2267,108,1002,1157,0,4.76,44.2,10.78,26545864,85.0
Canada,67674,4697,30239,32738,1473,6.94,44.68,15.53,75711404,894.0
Central African Republic,143,0,10,133,49,0.0,6.99,0.0,4829764,30.0
Chad,260,28,50,182,7,10.77,19.23,56.0,16425859,16.0
Chile,25972,294,12160,13518,1391,1.13,46.82,2.42,19116209,1359.0
China,83976,4637,78993,346,1,5.52,94.07,5.87,-2147483648,-39.0
Colombia,10051,428,2424,7199,595,4.26,24.12,17.66,50882884,198.0
Comoros,8,1,0,7,0,12.5,0.0,inf,869595,9.0
Congo (Brazzaville),274,10,33,231,10,3.65,12.04,30.3,89561403,3.0
Congo (Kinshasa),937,39,130,768,74,4.16,13.87,30.0,5518087,170.0
Costa Rica,773,6,461,306,8,0.78,59.64,1.3,5094114,152.0
Cote d'Ivoire,1602,20,754,828,31,1.25,47.07,2.65,26378274,61.0
Croatia,2161,86,1689,386,36,3.98,78.16,5.09,4105268,526.0
Cuba,1741,74,1078,589,12,4.25,61.92,6.86,11326616,154.0
Cyprus,891,15,400,476,2,1.68,44.89,3.75,1207361,738.0
Czechia,8077,273,4413,3391,46,3.38,54.64,6.19,10708981,754.0
Denmark,10416,522,8125,1769,135,5.01,78.0,6.42,5897840,1766.0
Diamond Princess,712,13,645,54,0,1.83,90.59,2.02,0,inf
Djibouti,1135,3,824,308,2,0.26,72.6,0.36,988002,1149.0
Dominica,16,0,14,2,0,0.0,87.5,0.0,71991,222.0
Dominican Republic,9376,380,2286,6710,281,4.05,24.38,16.62,10847904,864.0
Ecuador,28818,1704,3433,23681,0,5.91,11.91,49.64,17643060,1633.0
Egypt,8476,503,1945,6028,495,5.93,22.95,25.86,102334403,83.0
El Salvador,742,16,257,469,47,2.16,34.64,6.23,6486201,114.0
Equatorial Guinea,439,4,13,422,0,0.91,2.96,30.77,1402985,313.0
Eritrea,39,0,37,2,0,0.0,94.87,0.0,3546427,11.0
Estonia,1725,56,704,965,5,3.25,40.81,7.95,1326539,1300.0
Eswatini,159,2,12,145,6,1.26,7.55,16.67,1160164,137.0
Ethiopia,194,4,95,95,3,2.06,48.97,4.21,114963583,2.0
Fiji,18,0,14,4,0,0.0,77.78,0.0,896444,20.0
Finland,5738,260,4000,1478,65,4.53,69.71,6.5,5540718,1036.0
France,176202,26233,55892,94077,1284,14.89,31.72,46.94,68136441,2586.0
Gabon,620,8,110,502,116,1.29,17.74,7.27,2225728,279.0
Gambia,20,1,9,10,2,5.0,45.0,11.11,2416664,8.0
Georgia,623,10,288,325,8,1.61,46.23,3.47,3989175,156.0
Germany,170588,7510,141700,21378,1158,4.4,83.07,5.3,83783945,2036.0
Ghana,4012,18,323,3671,921,0.45,8.05,5.57,31072945,129.0
Greece,2691,150,1374,1167,13,5.57,51.06,10.92,10423056,258.0
Grenada,21,0,13,8,0,0.0,61.9,0.0,112519,187.0
Guatemala,900,24,101,775,68,2.67,11.22,23.76,17915567,50.0
Guinea,2009,11,663,1335,82,0.55,33.0,1.66,13132792,153.0
Guinea-Bissau,594,2,25,567,30,0.34,4.21,8.0,1967998,302.0
Guyana,94,10,35,49,1,10.64,37.23,28.57,786559,120.0
Haiti,146,12,17,117,17,8.22,11.64,70.59,11402533,13.0
Holy See,12,0,2,10,0,0.0,16.67,0.0,809,14833.0
Honduras,1771,107,192,1472,86,6.04,10.84,55.73,9904608,179.0
Hungary,3178,392,865,1921,28,12.33,27.22,45.32,9660350,329.0
Iceland,1801,10,1765,26,0,0.56,98.0,0.57,341250,5278.0
India,59695,1985,17887,39823,3344,3.33,29.96,11.1,1380004385,43.0
Indonesia,13112,943,2494,9675,336,7.19,19.02,37.81,273523621,48.0
Iran,104691,6541,83837,14313,1556,6.25,80.08,7.8,83992953,1246.0
Iraq,2603,104,1661,838,60,4.0,63.81,6.26,40222503,65.0
Ireland,22541,1429,17110,4002,156,6.34,75.91,8.35,4937796,4565.0
Israel,16436,245,11229,4962,55,1.49,68.32,2.18,8655541,1899.0
Italy,217185,30201,99023,87961,1327,13.91,45.59,30.5,60461828,3592.0
Jamaica,490,9,62,419,2,1.84,12.65,14.52,2961161,165.0
Japan,15575,590,5146,9839,98,3.79,33.04,11.47,126476458,123.0
Jordan,508,9,385,114,14,1.77,75.79,2.34,10203140,50.0
Kazakhstan,4834,31,1631,3172,256,0.64,33.74,1.9,18776707,257.0
Kenya,621,29,202,390,14,4.67,32.53,14.36,53771300,12.0
"Korea, South",10840,256,9568,1016,18,2.36,88.27,2.68,51269183,211.0
Kosovo,861,27,562,272,0,3.14,65.27,4.8,1793000,480.0
Kuwait,7208,47,2466,4695,641,0.65,34.21,1.91,4270563,1688.0
Kyrgyzstan,906,12,650,244,11,1.32,71.74,1.85,6524191,139.0
Laos,19,0,9,10,0,0.0,47.37,0.0,7275556,3.0
Latvia,928,18,464,446,19,1.94,50.0,3.88,1886202,492.0
Lebanon,796,26,223,547,12,3.27,28.02,11.66,6825442,117.0
Liberia,199,20,79,100,10,10.05,39.7,25.32,5057677,39.0
Libya,64,3,24,37,0,4.69,37.5,12.5,6871287,9.0
